日期,保持,改变
4/1,1.4,0.8666666666666667
4/2,1.5333333333333334,1.1333333333333333
4/3,1.1333333333333333,0.3333333333333333
4/4,0.6666666666666666,-0.6666666666666666
4/5,1.1333333333333333,0.4666666666666667
4/6,1.2,0.4
4/7,1.4,0.8666666666666667
4/8,0.8,-0.26666666666666666
4/9,0.8666666666666667,-0.2
4/10,1.1333333333333333,0.3333333333333333
4/11,1.2666666666666666,0.6
4/12,1.5333333333333334,1.2666666666666666
4/13,1.2,0.4
4/14,1.2,0.4
4/15,1.4666666666666666,0.9333333333333333
4/16,1.3333333333333333,0.6666666666666666
4/17,1.2666666666666666,0.6
4/18,1.5333333333333334,1.1333333333333333
4/19,1.3333333333333333,0.8
4/20,1.8666666666666667,1.7333333333333334
4/21,1.3333333333333333,0.6666666666666666
4/22,1.6,1.2
4/23,1.0,0.06666666666666667
4/24,1.6,1.2
4/25,1.1333333333333333,0.3333333333333333
4/26,0.9333333333333333,0.0
4/27,1.2666666666666666,0.6
4/28,1.2,0.4
4/29,0.8,-0.4
4/30,1.7272727272727273,1.5454545454545454
